Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104,Box Score,,"16,221",
"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85,Box Score,,"18,505",
"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113,Box Score,,"19,068",
"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101,Box Score,,"12,245",
"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114,Box Score,,"12,936",
"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,Box Score,,"16,713",
"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113,Box Score,,"17,569",
"Wed, Nov 1, 2017",7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,Box Score,,"15,655",
"Wed, Nov 1, 2017",7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,Box Score,,"20,562",
"Wed, Nov 1, 2017",7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,Box Score,,"20,549",
"Wed, Nov 1, 2017",7:00p,Phoenix Suns,122,Washington Wizards,116,Box Score,,"14,790",
"Wed, Nov 1, 2017",7:30p,Sacramento Kings,86,Boston Celtics,113,Box Score,,"18,624",
"Wed, Nov 1, 2017",7:30p,Chicago Bulls,91,Miami Heat,97,Box Score,,"19,600",
"Wed, Nov 1, 2017",8:00p,Orlando Magic,101,Memphis Grizzlies,99,Box Score,,"15,434",
"Wed, Nov 1, 2017",8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,Box Score,,"14,788",
"Wed, Nov 1, 2017",8:00p,Houston Rockets,119,New York Knicks,97,Box Score,,"18,320",
"Wed, Nov 1, 2017",9:00p,Toronto Raptors,111,Denver Nuggets,129,Box Score,,"14,072",
"Wed, Nov 1, 2017",9:00p,Portland Trail Blazers,103,Utah Jazz,112,Box Score,OT,"16,685",
"Wed, Nov 1, 2017",10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,Box Score,,"13,487",
"Thu, Nov 2, 2017",8:00p,Golden State Warriors,112,San Antonio Spurs,92,Box Score,,"18,418",
"Thu, Nov 2, 2017",10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,Box Score,,"19,469",
"Fri, Nov 3, 2017",7:00p,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,"17,207",
"Fri, Nov 3, 2017",7:00p,Chicago Bulls,105,Orlando Magic,83,Box Score,,"19,171",
"Fri, Nov 3, 2017",7:00p,Indiana Pacers,110,Philadelphia 76ers,121,Box Score,,"20,668",
"Fri, Nov 3, 2017",7:00p,Cleveland Cavaliers,130,Washington Wizards,122,Box Score,,"20,356",
"Fri, Nov 3, 2017",7:30p,Houston Rockets,119,Atlanta Hawks,104,Box Score,,"14,087",
"Fri, Nov 3, 2017",7:30p,Phoenix Suns,107,New York Knicks,120,Box Score,,"19,404",
"Fri, Nov 3, 2017",8:30p,New Orleans Pelicans,99,Dallas Mavericks,94,Box Score,,"19,894",
"Fri, Nov 3, 2017",8:30p,Charlotte Hornets,101,San Antonio Spurs,108,Box Score,,"18,418",
"Fri, Nov 3, 2017",9:00p,Miami Heat,94,Denver Nuggets,95,Box Score,,"15,317",
"Fri, Nov 3, 2017",9:00p,Toronto Raptors,109,Utah Jazz,100,Box Score,,"16,258",
"Fri, Nov 3, 2017",9:30p,Boston Celtics,101,Oklahoma City Thunder,94,Box Score,,"18,203",
"Fri, Nov 3, 2017",10:30p,Brooklyn Nets,112,Los Angeles Lakers,124,Box Score,,"18,997",
"Sat, Nov 4, 2017",3:30p,Memphis Grizzlies,113,Los Angeles Clippers,104,Box Score,,"14,777",
"Sat, Nov 4, 2017",7:00p,Sacramento Kings,99,Detroit Pistons,108,Box Score,,"17,683",
"Sat, Nov 4, 2017",8:00p,New Orleans Pelicans,96,Chicago Bulls,90,Box Score,OT,"21,254",
"Sat, Nov 4, 2017",8:00p,Dallas Mavericks,99,Minnesota Timberwolves,112,Box Score,,"16,837",
"Sat, Nov 4, 2017",9:00p,Golden State Warriors,127,Denver Nuggets,108,Box Score,,"19,711",
"Sun, Nov 5, 2017",3:00p,Atlanta Hawks,117,Cleveland Cavaliers,115,Box Score,,"20,562",
"Sun, Nov 5, 2017",3:30p,Miami Heat,104,Los Angeles Clippers,101,Box Score,,"15,676",
"Sun, Nov 5, 2017",6:00p,Boston Celtics,104,Orlando Magic,88,Box Score,,"17,731",
"Sun, Nov 5, 2017",6:00p,Washington Wizards,107,Toronto Raptors,96,Box Score,,"19,800",
"Sun, Nov 5, 2017",7:00p,Utah Jazz,110,Houston Rockets,137,Box Score,,"16,914",
"Sun, Nov 5, 2017",7:00p,Phoenix Suns,95,San Antonio Spurs,112,Box Score,,"18,038",
"Sun, Nov 5, 2017",7:30p,Indiana Pacers,101,New York Knicks,108,Box Score,,"17,889",
"Sun, Nov 5, 2017",8:00p,Charlotte Hornets,94,Minnesota Timberwolves,112,Box Score,,"14,124",
"Sun, Nov 5, 2017",9:00p,Oklahoma City Thunder,99,Portland Trail Blazers,103,Box Score,,"19,393",
"Sun, Nov 5, 2017",9:30p,Memphis Grizzlies,102,Los Angeles Lakers,107,Box Score,,"18,997",
"Mon, Nov 6, 2017",7:30p,Boston Celtics,110,Atlanta Hawks,107,Box Score,,"13,215",
"Mon, Nov 6, 2017",9:00p,Brooklyn Nets,98,Phoenix Suns,92,Box Score,,"15,905",
"Mon, Nov 6, 2017",10:30p,Miami Heat,80,Golden State Warriors,97,Box Score,,"19,596",
"Tue, Nov 7, 2017",7:00p,Milwaukee Bucks,119,Cleveland Cavaliers,124,Box Score,,"20,562",
"Tue, Nov 7, 2017",7:00p,New Orleans Pelicans,117,Indiana Pacers,112,Box Score,,"15,014",
"Tue, Nov 7, 2017",7:00p,Dallas Mavericks,113,Washington Wizards,99,Box Score,,"14,505",
"Tue, Nov 7, 2017",7:30p,Charlotte Hornets,113,New York Knicks,118,Box Score,,"18,704",
"Tue, Nov 7, 2017",7:30p,Chicago Bulls,114,Toronto Raptors,119,Box Score,,"19,800",
"Tue, Nov 7, 2017",8:30p,Los Angeles Clippers,107,San Antonio Spurs,120,Box Score,,"18,418",
"Tue, Nov 7, 2017",9:00p,Brooklyn Nets,104,Denver Nuggets,112,Box Score,,"14,058",
"Tue, Nov 7, 2017",9:00p,Philadelphia 76ers,104,Utah Jazz,97,Box Score,,"16,063",
"Tue, Nov 7, 2017",10:00p,Memphis Grizzlies,98,Portland Trail Blazers,97,Box Score,,"18,692",
"Tue, Nov 7, 2017",10:00p,Oklahoma City Thunder,86,Sacramento Kings,94,Box Score,,"17,583",
"Wed, Nov 8, 2017",7:00p,Indiana Pacers,97,Detroit Pistons,114,Box Score,,"14,407",
"Wed, Nov 8, 2017",7:00p,New York Knicks,99,Orlando Magic,112,Box Score,,"18,803",
"Wed, Nov 8, 2017",8:00p,Los Angeles Lakers,96,Boston Celtics,107,Box Score,,"18,624",
"Wed, Nov 8, 2017",9:00p,Miami Heat,126,Phoenix Suns,115,Box Score,,"16,500",
"Wed, Nov 8, 2017",10:30p,Minnesota Timberwolves,101,Golden State Warriors,125,Box Score,,"19,596",
"Thu, Nov 9, 2017",7:00p,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,"20,356",
